Wall time,Step,Value
1783274924.5843358,8192,-64.13140869140625
1783274991.095525,16384,-60.565731048583984
1783275057.6802273,24576,-57.87343215942383
1783275125.1479256,32768,-57.54821014404297
1783275232.2464197,40960,-56.441829681396484
1783275342.9998655,49152,-55.15074157714844
1783275410.7268524,57344,-53.611534118652344
1783275478.1810708,65536,-52.12281036376953
1783275545.7624614,73728,-52.58111572265625
1783275627.7325058,81920,-51.79661178588867
1783275695.8422852,90112,-52.170902252197266
1783275764.3334126,98304,-51.87583923339844
1783275832.6892736,106496,-51.8317985534668
1783275901.2512476,114688,-52.395103454589844
1783275981.249711,122880,-51.82456970214844
1783276049.4932723,131072,-50.95165252685547
1783276117.731326,139264,-50.1185302734375
1783276185.4138966,147456,-48.10775375366211
1783276252.7184286,155648,-45.7304573059082
1783276344.7658908,163840,-44.69285583496094
1783276412.821276,172032,-41.443267822265625
1783276480.4588537,180224,-38.29553985595703
1783276547.7476306,188416,-34.585872650146484
1783276615.753231,196608,-30.01474952697754
1783276717.6223085,204800,-25.049610137939453
1783276785.28463,212992,-19.709714889526367
1783276853.5256968,221184,-15.53249740600586
1783276921.194116,229376,-11.385931968688965
1783276988.4214513,237568,-6.390958786010742
1783277094.7725515,245760,2.297076463699341
1783277162.7833397,253952,15.64915943145752
1783277230.5052173,262144,22.60330581665039
1783277298.1568143,270336,30.88275909423828
1783277366.2649128,278528,39.17628860473633
1783277475.8568506,286720,53.206539154052734
1783277544.0746694,294912,62.72621536254883
1783277612.3264775,303104,76.19353485107422
1783277680.1555088,311296,90.20452117919922
1783277747.8055751,319488,107.50728607177734
1783277857.9565246,327680,128.72994995117188
1783277926.0963433,335872,148.42005920410156
1783277994.5659654,344064,165.02671813964844
1783278062.755489,352256,175.17543029785156
1783278171.9168823,360448,196.53515625
1783278239.8438225,368640,211.8046112060547
1783278308.1167397,376832,223.28152465820312
1783278376.6625462,385024,235.47169494628906
1783278445.2529383,393216,241.51490783691406
1783278559.0587757,401408,252.80401611328125
1783278626.942424,409600,260.16119384765625
1783278695.2068663,417792,269.7783203125
1783278763.41163,425984,274.3315734863281
1783278832.2620966,434176,274.4316101074219
1783278944.9712927,442368,270.1650695800781
1783279012.7999952,450560,276.21990966796875
1783279080.9187248,458752,277.23809814453125
1783279149.5321703,466944,287.48699951171875
